reaction_id	equation	subsystem	original_gpr	candidate_genes	ec	ko	uniprot_support	rbh_support	reference_support	pathway_support	direction_support	transport_support	gapfill_status	evidence_class	conflict_flag	proposed_action	reason
EX_25dkglcn_e	25dkglcn_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_26dap__M_e	26dap__M_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_2ameph_e	2ameph_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_2m35mdntha_e	2m35mdntha_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_35dnta_e	35dnta_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_3amp_e	3amp_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_3cmp_e	3cmp_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_3gmp_e	3gmp_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_3h4atb_e	3h4atb_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_3mb_e	3mb_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_3oxoadp_e	3oxoadp_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_3ump_e	3ump_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_4abut_e	4abut_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_4ahmmp_e	4ahmmp_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_4hba_e	4hba_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_4hbz_e	4hbz_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_4hpro_LT_e	4hpro_LT_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_5drib_e	5drib_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_5mcsn_e	5mcsn_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_6atha_e	6atha_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_6pgc_e	6pgc_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_LalaDgluMdapDala_e	LalaDgluMdapDala_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_LalaDgluMdap_e	LalaDgluMdap_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_LalaLglu_e	LalaLglu_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_R_3hhpa_e	R_3hhpa_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_R_3hphxa_e	R_3hphxa_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_R_3hpocta_e	R_3hpocta_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_abg4_e	abg4_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_ac_e	ac_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_acac_e	acac_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_acald_e	acald_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_acgam1p_e	acgam1p_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_acgam_e	acgam_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_acglu_e	acglu_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_acmana_e	acmana_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_acmum_e	acmum_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_acon_C_e	acon_C_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_acser_e	acser_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_actn__R_e	actn__R_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_ade_e	ade_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_adn_e	adn_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_agm_e	agm_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_akg_e	akg_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_ala_L_asp__L_e	ala_L_asp__L_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_ala_L_glu__L_e	ala_L_glu__L_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_ala__D_e	ala__D_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_ala__L_e	ala__L_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_alaala_e	alaala_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_alahis_e	alahis_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_alaleu_e	alaleu_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_alathr_e	alathr_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_alatrp_e	alatrp_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_alltn_e	alltn_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_anhgm_e	anhgm_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_apc_e	apc_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_arab__D_e	arab__D_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_arab__L_e	arab__L_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_arbt6p_e	arbt6p_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_arbt_e	arbt_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_arg__L_e	arg__L_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_asn__L_e	asn__L_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_aso3_e	aso3_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_aso4_e	aso4_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_asp__L_e	asp__L_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_bhb_e	bhb_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_btd_RR_e	btd_RR_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_but_e	but_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_butso3_e	butso3_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_bz_e	bz_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_ca2_e	ca2_e <=> 				3.6.3.8						AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_carn_e	carn_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_cd2_e	cd2_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_cell4_e	cell4_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_cellb_e	cellb_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_cgly_e	cgly_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_ch4s_e	ch4s_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_chol_e	chol_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_chor_e	chor_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_chtbs_e	chtbs_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_cinnm_e	cinnm_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_cit_e	cit_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_cl_e	cl_e <=> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_cm_e	cm_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_co2_e	co2_e <=> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_cobalt2_e	cobalt2_e <=> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_confrl_e	confrl_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_crn_e	crn_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_cro4_e	cro4_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_csn_e	csn_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_cu2_e	cu2_e <=> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_cyan_e	cyan_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_cys__L_e	cys__L_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_cytd_e	cytd_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_dad_2_e	dad_2_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_dca_e	dca_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_dcyt_e	dcyt_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_ddca_e	ddca_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_dextrin_e	dextrin_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_dgsn_e	dgsn_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_dha_e	dha_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_din_e	din_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_dms_e	dms_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_dmso_e	dmso_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_doxrbcn_e	doxrbcn_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_drib_e	drib_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_duri_e	duri_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_dxyl_e	dxyl_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_ecto__L_e	ecto__L_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_enter_e	enter_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_etha_e	etha_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_etoh_e	etoh_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_fad_e	fad_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_fald_e	fald_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_fe2_e	fe2_e <=> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_fe3_e	fe3_e <=> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_fe3dcit_e	fe3dcit_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_fe3hox_e	fe3hox_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_fe3hox_un_e	fe3hox_un_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_fe3pyovd_kt_e	fe3pyovd_kt_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
EX_feenter_e	feenter_e --> 										AUDIT_NOT_RUN_PHASE1	N/A		SPECIAL	NO	SPECIAL_RULE	Phase-1 ingestion; no biological decision applied
