review_id	module	entity_id	current_state	candidate_state	candidate_action	evidence_summary	confidence	manual_decision	manual_value	manual_notes	reviewer	review_date
HBREV-0014	Reaction_GPR	NADH5	EHJ92240_1 or EHJ92340_1 or EHJ92457_1 or EHJ92612_1 or EHJ94592_1	EHJ92340_1	REVISE_GPR_CANDIDATE	GPR_MEDIUM; FAMILY_LEVEL_ONLY; EC=NO_REACTION_EC; UniProt=; RBH=	GPR_LOW					
HBREV-0015	Reaction_GPR	AACOAR_syn;ACCOAC;AGDC;ATHRDHr;ATPS4rpp;DHORDfum;DMPPS;DNTPPA;DURAD;DURAD2;ECOAH9ir;GLCDpp;H2ASE_syn;HACD1_1;HIBDkt;HXPRT;IPDPS;MGCH;NAPRT;OPHBDC;PPA2;PPAKr;PPK2;SSCOARy;THD2pp;TRE6PP;URIC	EHJ91589_1;EHJ91601_1 or EHJ91649_1 or (EHJ91601_1 and EHJ91602_1) or (EHJ91601_1 and EHJ91602_1 and EHJ91956_1) or (EHJ91601_1 and EHJ91956_1 and EHJ93768_1);EHJ91652_1;...(+24)	EHJ91589.1;EHJ91601_1 and [UNRESOLVED:HB_MODEL_ID:EHJ91600_1];EHJ91652.1;...(+24)	REVISE_GPR_CANDIDATE	GPR_CONFLICT; FAMILY_LEVEL_ONLY; EC=1.1.1.100; UniProt=A0A265E0N3; RBH=MBB3329262.1;GPR_CONFLICT; DIRECTLY_SUPPORTED; EC=CONFLICT; UniProt=; RBH=;GPR_CONFLICT; DIRECTLY_SUPPORTED; EC=NO_GENE_EC; UniProt=A0A265DZY4; RBH=MBB3331508.1;GPR_CONFLICT; DIRECTLY_SUPPORTED; EC=CONFLICT; UniProt=; RBH=;...(+23)	GPR_CONFLICT					
HBREV-0016	Reaction_GPR	SALCHS4FEabcpp	EHJ92678_1 and EHJ92703_1	EHJ92678.1 or EHJ92703.1	REVISE_GPR_CANDIDATE	GPR_MEDIUM; FAMILY_LEVEL_ONLY; EC=NO_REACTION_EC; UniProt=A0A265DVS1;A0A265E1A2; RBH=	GPR_LOW					
HBREV-0017	Reaction_GPR	CYTBDpp;CYTBO3_4pp	(EHJ93005_1 and EHJ93006_1) or (EHJ94557_1 and EHJ94558_1) or (EHJ93004_1 and EHJ93005_1 and EHJ93006_1);(EHJ93313_1 and EHJ93314_1) or (EHJ93311_1 and EHJ93312_1 and EHJ93313_1 and EHJ93314_1)	EHJ91884_1 and EHJ91885_1;EHJ93314_1 and [UNRESOLVED:Csal_0955] and EHJ93312_1 and EHJ93311_1 and EHJ93310_1	REVISE_GPR_CANDIDATE	GPR_MEDIUM; FAMILY_LEVEL_ONLY; EC=NO_REACTION_EC; UniProt=; RBH=;GPR_MEDIUM; FAMILY_LEVEL_ONLY; EC=NO_REACTION_EC; UniProt=; RBH=	GPR_LOW					
HBREV-0018	Reaction_GPR	NADH5	PRESENT	REVIEW_RETENTION_OR_CHEMISTRY	MANUAL_REVIEW	SOFT_CONFLICT; SOFT_CONFLICT; blocked=NOT_BLOCKED	MIXED					
HBREV-0019	Reaction_GPR	AACOAR_syn;ACCOAC;AGDC;ATHRDHr;ATPM;CYSTL;DHORDfum;DMPPS;DNTPPA;DURAD;DURAD2;ECOAH9ir;Growth;H2ASE_syn;HACD1_1;HIBDkt;HXPRT;IPDPS;MGCH;NAPRT;OPHBDC;PPA2;PPAKr;SSCOARy;TRE6PP	PRESENT;PRESENT;PRESENT;...(+22)	REVIEW_RETENTION_OR_CHEMISTRY	MANUAL_REVIEW	HARD_CONFLICT; HARD_CONFLICT; blocked=NOT_BLOCKED;HARD_CONFLICT; HARD_CONFLICT; blocked=NOT_BLOCKED;HARD_CONFLICT; HARD_CONFLICT; blocked=NOT_BLOCKED;HARD_CONFLICT; HARD_CONFLICT; blocked=NOT_BLOCKED;...(+21)	MIXED					
HBREV-0035	Reaction_GPR	NADHPO	PRESENT	REVIEW_RETENTION_OR_CHEMISTRY	MANUAL_REVIEW	HARD_CONFLICT; HARD_CONFLICT; blocked=NOT_BLOCKED	MIXED					
HBREV-0036	Reaction_GPR	KAS13;KAS2	PRESENT;PRESENT	REVIEW_RETENTION_OR_CHEMISTRY	MANUAL_REVIEW	HARD_CONFLICT; HARD_CONFLICT; blocked=NOT_BLOCKED;HARD_CONFLICT; HARD_CONFLICT; blocked=NOT_BLOCKED	MIXED					
HBREV-0037	Reaction_GPR	ECOAH12	PRESENT	REVIEW_RETENTION_OR_CHEMISTRY	MANUAL_REVIEW	HARD_CONFLICT; HARD_CONFLICT; blocked=NOT_BLOCKED	MIXED					
HBREV-0038	Reaction_GPR	MTHFR3	PRESENT	REVIEW_RETENTION_OR_CHEMISTRY	MANUAL_REVIEW	HARD_CONFLICT; HARD_CONFLICT; blocked=NOT_BLOCKED	MIXED					
HBREV-0039	Reaction_GPR	G3PAT120;G3PAT141;G3PAT161	PRESENT;PRESENT;PRESENT	REVIEW_RETENTION_OR_CHEMISTRY	MANUAL_REVIEW	HARD_CONFLICT; HARD_CONFLICT; blocked=NOT_BLOCKED;HARD_CONFLICT; HARD_CONFLICT; blocked=NOT_BLOCKED;HARD_CONFLICT; HARD_CONFLICT; blocked=NOT_BLOCKED	MIXED					
HBREV-0040	Reaction_GPR	3NTD4pp;3NTD7pp	PRESENT;PRESENT	REVIEW_RETENTION_OR_CHEMISTRY	MANUAL_REVIEW	HARD_CONFLICT; HARD_CONFLICT; blocked=NOT_BLOCKED;HARD_CONFLICT; HARD_CONFLICT; blocked=NOT_BLOCKED	MIXED					
HBREV-0041	Reaction_GPR	FRD3	PRESENT	REVIEW_RETENTION_OR_CHEMISTRY	MANUAL_REVIEW	HARD_CONFLICT; HARD_CONFLICT; blocked=NOT_BLOCKED	MIXED					
HBREV-0042	Reaction_GPR	ASPO6	PRESENT	REVIEW_RETENTION_OR_CHEMISTRY	MANUAL_REVIEW	HARD_CONFLICT; HARD_CONFLICT; blocked=NOT_BLOCKED	MIXED					
HBREV-0043	Reaction_GPR	ALLTN	PRESENT	REVIEW_RETENTION_OR_CHEMISTRY	MANUAL_REVIEW	HARD_CONFLICT; HARD_CONFLICT; blocked=NOT_BLOCKED	MIXED					
HBREV-0044	Reaction_GPR	ACTD	PRESENT	REVIEW_RETENTION_OR_CHEMISTRY	MANUAL_REVIEW	HARD_CONFLICT; HARD_CONFLICT; blocked=NOT_BLOCKED	MIXED					
HBREV-0045	Reaction_GPR	DHDPRx_r;DHDPRy	PRESENT;PRESENT	REVIEW_RETENTION_OR_CHEMISTRY	MANUAL_REVIEW	HARD_CONFLICT; HARD_CONFLICT; blocked=NOT_BLOCKED;HARD_CONFLICT; HARD_CONFLICT; blocked=NOT_BLOCKED	MIXED					
HBREV-0046	Reaction_GPR	HACD1i	PRESENT	REVIEW_RETENTION_OR_CHEMISTRY	MANUAL_REVIEW	HARD_CONFLICT; HARD_CONFLICT; blocked=NOT_BLOCKED	MIXED					
HBREV-0047	Reaction_GPR	GLYCLTDy	PRESENT	REVIEW_RETENTION_OR_CHEMISTRY	MANUAL_REVIEW	HARD_CONFLICT; HARD_CONFLICT; blocked=NOT_BLOCKED	MIXED					
HBREV-0048	Reaction_GPR	HACD1;HACD8	PRESENT;PRESENT	REVIEW_RETENTION_OR_CHEMISTRY	MANUAL_REVIEW	HARD_CONFLICT; HARD_CONFLICT; blocked=NOT_BLOCKED;HARD_CONFLICT; HARD_CONFLICT; blocked=NOT_BLOCKED	MIXED					
HBREV-0049	Reaction_GPR	CYSDDS	PRESENT	REVIEW_RETENTION_OR_CHEMISTRY	MANUAL_REVIEW	HARD_CONFLICT; HARD_CONFLICT; blocked=NOT_BLOCKED	MIXED					
HBREV-0050	Reaction_GPR	G1PP	PRESENT	REVIEW_RETENTION_OR_CHEMISTRY	MANUAL_REVIEW	HARD_CONFLICT; HARD_CONFLICT; blocked=NOT_BLOCKED	MIXED					
HBREV-0051	Reaction_GPR	PFK	PRESENT	REVIEW_RETENTION_OR_CHEMISTRY	MANUAL_REVIEW	HARD_CONFLICT; HARD_CONFLICT; blocked=NOT_BLOCKED	MIXED					
HBREV-0052	Reaction_GPR	AHSERL2	PRESENT	REVIEW_RETENTION_OR_CHEMISTRY	MANUAL_REVIEW	HARD_CONFLICT; HARD_CONFLICT; blocked=NOT_BLOCKED	MIXED					
HBREV-0053	Reaction_GPR	RHACOAR100;RHACOAR140;RHACOAR60;RHACOAR80	PRESENT;PRESENT;PRESENT;...(+1)	REVIEW_RETENTION_OR_CHEMISTRY	MANUAL_REVIEW	HARD_CONFLICT; HARD_CONFLICT; blocked=UNKNOWN;HARD_CONFLICT; HARD_CONFLICT; blocked=NOT_BLOCKED;HARD_CONFLICT; HARD_CONFLICT; blocked=NOT_BLOCKED;HARD_CONFLICT; HARD_CONFLICT; blocked=UNKNOWN	MIXED					
HBREV-0054	Reaction_GPR	FACOAE100;FACOAE120;FACOAE140;FACOAE180	PRESENT;PRESENT;PRESENT;...(+1)	REVIEW_RETENTION_OR_CHEMISTRY	MANUAL_REVIEW	HARD_CONFLICT; HARD_CONFLICT; blocked=NOT_BLOCKED;HARD_CONFLICT; HARD_CONFLICT; blocked=NOT_BLOCKED;HARD_CONFLICT; HARD_CONFLICT; blocked=NOT_BLOCKED;HARD_CONFLICT; HARD_CONFLICT; blocked=NOT_BLOCKED	MIXED					
HBREV-0055	Reaction_GPR	KAT1	PRESENT	REVIEW_RETENTION_OR_CHEMISTRY	MANUAL_REVIEW	HARD_CONFLICT; HARD_CONFLICT; blocked=NOT_BLOCKED	MIXED					
HBREV-0056	Reaction_GPR	GLYCTO1	PRESENT	REVIEW_RETENTION_OR_CHEMISTRY	MANUAL_REVIEW	HARD_CONFLICT; HARD_CONFLICT; blocked=NOT_BLOCKED	MIXED					
HBREV-0057	Reaction_GPR	LSERDHr	PRESENT	REVIEW_RETENTION_OR_CHEMISTRY	MANUAL_REVIEW	HARD_CONFLICT; HARD_CONFLICT; blocked=UNKNOWN	MIXED					
HBREV-0082	Reaction_GPR	FRD3	(EHJ94724_1 and EHJ94725_1 and EHJ94727_1) or (EHJ94724_1 and EHJ94725_1 and EHJ94726_1 and EHJ94727_1)	EHJ93185_1	REVISE_GPR_CANDIDATE	GPR_CONFLICT; STEREOSPECIFICITY_UNRESOLVED; EC=CONFLICT; UniProt=; RBH=	GPR_CONFLICT					
HBREV-0083	Reaction_GPR	ACACT3r;ACACT5r	EHJ92212_1 or EHJ93969_1;EHJ92212_1 or EHJ93969_1	EHJ92212_1;EHJ92212_1	REVISE_GPR_CANDIDATE	GPR_CONFLICT; CHAIN_LENGTH_UNRESOLVED; EC=CONFLICT; UniProt=; RBH=;GPR_CONFLICT; CHAIN_LENGTH_UNRESOLVED; EC=CONFLICT; UniProt=; RBH=	GPR_CONFLICT					
HBREV-0084	Reaction_GPR	KAS13;KAS2	EHJ93844_1;EHJ93844_1	EHJ93844.1;EHJ93844.1	REVISE_GPR_CANDIDATE	GPR_CONFLICT; FAMILY_LEVEL_ONLY; EC=1.1.1.36; UniProt=A0A265E275; RBH=MBB3332021.1;GPR_CONFLICT; FAMILY_LEVEL_ONLY; EC=1.1.1.36; UniProt=A0A265E275; RBH=MBB3332021.1	GPR_CONFLICT					
HBREV-0085	Reaction_GPR	ZNabc	EHJ91577_1 or EHJ92218_1 or EHJ93920_1	EHJ91577.1 or EHJ92218.1 or EHJ93920.1	REVISE_GPR_CANDIDATE	GPR_CONFLICT; FAMILY_LEVEL_ONLY; EC=NO_GENE_EC; UniProt=A0A265DTP5;A0A265DZD5;A0A265E0M4; RBH=MBB3329359.1;MBB3331767.1	GPR_CONFLICT					
HBREV-0086	Reaction_GPR	3NTD4pp;3NTD7pp	EHJ92757_1;EHJ92757_1	EHJ92757.1;EHJ92757.1	REVISE_GPR_CANDIDATE	GPR_CONFLICT; DIRECTLY_SUPPORTED; EC=3.1.3.5; UniProt=A0A265E125; RBH=MBB3329528.1;GPR_CONFLICT; DIRECTLY_SUPPORTED; EC=3.1.3.5; UniProt=A0A265E125; RBH=MBB3329528.1	GPR_CONFLICT					
HBREV-0087	Reaction_GPR	CTECOAI6;CTECOAI7;CTECOAI8	EHJ92213_1 or EHJ93246_1 or EHJ94459_1 or EHJ94565_1;EHJ92213_1 or EHJ93246_1 or EHJ94459_1 or EHJ94565_1;EHJ92213_1 or EHJ93246_1 or EHJ94459_1 or EHJ94565_1	EHJ92213_1;EHJ92213_1;EHJ92213_1	REVISE_GPR_CANDIDATE	GPR_CONFLICT; CHAIN_LENGTH_UNRESOLVED; EC=CONFLICT; UniProt=; RBH=;GPR_CONFLICT; CHAIN_LENGTH_UNRESOLVED; EC=CONFLICT; UniProt=; RBH=;GPR_CONFLICT; CHAIN_LENGTH_UNRESOLVED; EC=CONFLICT; UniProt=; RBH=	GPR_CONFLICT					
HBREV-0088	Reaction_GPR	LSERDHr	EHJ93346_1 or EHJ93462_1 or EHJ94668_1	EHJ94668_1 or EHJ94668_1	REVISE_GPR_CANDIDATE	GPR_CONFLICT; DIRECTLY_SUPPORTED; EC=CONFLICT; UniProt=; RBH=	GPR_CONFLICT					
HBREV-0089	Reaction_GPR	RHACOAR100;RHACOAR140;RHACOAR60;RHACOAR80	EHJ91389_1;EHJ91389_1;EHJ91389_1;...(+1)	EHJ91389.1;EHJ91389.1;EHJ91389.1;...(+1)	REVISE_GPR_CANDIDATE	GPR_CONFLICT; CHAIN_LENGTH_UNRESOLVED; EC=1.1.1.100; UniProt=A0A265DY97; RBH=MBB3330059.1;GPR_CONFLICT; CHAIN_LENGTH_UNRESOLVED; EC=1.1.1.100; UniProt=A0A265DY97; RBH=MBB3330059.1;GPR_CONFLICT; CHAIN_LENGTH_UNRESOLVED; EC=1.1.1.100; UniProt=A0A265DY97; RBH=MBB3330059.1;GPR_CONFLICT; CHAIN_LENGTH_UNRESOLVED; EC=1.1.1.100; UniProt=A0A265DY97; RBH=MBB3330059.1	GPR_CONFLICT					
HBREV-0090	Reaction_GPR	AACPS7;AACPS9	EHJ91390_1 or EHJ93472_1;EHJ91390_1 or EHJ93472_1	[UNRESOLVED:FF32_10120];[UNRESOLVED:FF32_10120]	REVISE_GPR_CANDIDATE	GPR_LOW; FAMILY_LEVEL_ONLY; EC=NO_GENE_EC; UniProt=; RBH=;GPR_LOW; FAMILY_LEVEL_ONLY; EC=NO_GENE_EC; UniProt=; RBH=	GPR_LOW					
HBREV-0091	Reaction_GPR	PFK	EHJ91606_1	EHJ91606.1	REVISE_GPR_CANDIDATE	GPR_CONFLICT; CHAIN_LENGTH_UNRESOLVED; EC=2.7.1.90; UniProt=A0A265DZQ0; RBH=MBB3332217.1	GPR_CONFLICT					
HBREV-0092	Reaction_GPR	ACTD	EHJ93212_1 or EHJ94103_1	EHJ93212.1 or EHJ94103.1	REVISE_GPR_CANDIDATE	GPR_CONFLICT; DIRECTLY_SUPPORTED; EC=1.1.99.21; UniProt=A0A265DWW8;A0A265DYY8; RBH=MBB3330290.1;MBB3331855.1	GPR_CONFLICT					
HBREV-0093	Reaction_GPR	G1PP	EHJ92796_1	EHJ92796.1	REVISE_GPR_CANDIDATE	GPR_CONFLICT; DIRECTLY_SUPPORTED; EC=3.8.1.2; UniProt=A0A265E114; RBH=MBB3329450.1	GPR_CONFLICT					
HBREV-0094	Reaction_GPR	HACD1;HACD8	EHJ93247_1 or EHJ94680_1;EHJ93247_1	EHJ93247.1 or EHJ94680.1;EHJ93247.1	REVISE_GPR_CANDIDATE	GPR_CONFLICT; DIRECTLY_SUPPORTED; EC=1.1.1.157; UniProt=A0A265DWZ3;A0A265E1L2; RBH=MBB3330974.1;MBB3332597.1;GPR_CONFLICT; FAMILY_LEVEL_ONLY; EC=1.1.1.157; UniProt=A0A265DWZ3; RBH=MBB3332597.1	GPR_CONFLICT					
HBREV-0095	Reaction_GPR	ASPO6	EHJ92310_1	EHJ93185_1	REVISE_GPR_CANDIDATE	GPR_CONFLICT; DIRECTLY_SUPPORTED; EC=EXACT; UniProt=; RBH=	GPR_CONFLICT					
