review_id	group_id	category	object_type	object_id	current_state	proposed_state	recommended_action	confidence	evidence_summary	evidence_sources	reason	protected_status	dependency	predicted_impact	review_priority	mandatory	human_decision	human_value	human_note	apply_to_group	member_count	source_detail_file
HBREV-0001	BIOM-0B51A0AECB	BIOMASS	BIOMASS_MODULE	RNA	legacy Growth coefficients	0.210000 g/gDW	REVIEW_BIOMASS_MODULE	MEDIUM	V2.2 RNA assumption and ATP_RNA bookkeeping	gapfilling/BIOMASS_V2_2_SAME_COMPONENTS_REPORT.md	Biomass biological assumption requires one-time module-level expert review.	CRITICAL	precursor audit; gapfill; growth; phenotype	V2.2 report: net MW=1.0 and growth change +1.488%; finalize must recompute	P0	YES					1	BIOMASS_PROPOSAL.tsv
HBREV-0002	BIOM-47E89AF641	BIOMASS	BIOMASS_MODULE	Cofactors	legacy residual scaffold	V2.2 same-components retained	REVIEW_BIOMASS_MODULE	MEDIUM	HB residual scaffold	gapfilling/BIOMASS_V2_2_SAME_COMPONENTS_REPORT.md	Biomass biological assumption requires one-time module-level expert review.	CRITICAL	precursor audit; gapfill; growth; phenotype	V2.2 report: net MW=1.0 and growth change +1.488%; finalize must recompute	P0	YES					1	BIOMASS_PROPOSAL.tsv
HBREV-0003	BIOM-4D9E779CD9	BIOMASS	BIOMASS_MODULE	DNA	legacy Growth coefficients	0.031000 g/gDW	REVIEW_BIOMASS_MODULE	HIGH	genome composition / V2.2 normalization	gapfilling/BIOMASS_V2_2_SAME_COMPONENTS_REPORT.md	Biomass biological assumption requires one-time module-level expert review.	CRITICAL	precursor audit; gapfill; growth; phenotype	V2.2 report: net MW=1.0 and growth change +1.488%; finalize must recompute	P0	YES					1	BIOMASS_PROPOSAL.tsv
HBREV-0004	BIOM-68C72C11AB	BIOMASS	BIOMASS_MODULE	GAM	legacy ATP bookkeeping	53.950000 mmol ATP/gDW	REVIEW_BIOMASS_MODULE	MEDIUM	V2.2 validated bookkeeping	gapfilling/BIOMASS_V2_2_SAME_COMPONENTS_REPORT.md	Biomass biological assumption requires one-time module-level expert review.	CRITICAL	precursor audit; gapfill; growth; phenotype	V2.2 report: net MW=1.0 and growth change +1.488%; finalize must recompute	P0	YES					1	BIOMASS_PROPOSAL.tsv
HBREV-0005	BIOM-8C4E056BCA	BIOMASS	BIOMASS_MODULE	Lipid	legacy residual scaffold	V2.2 same-components retained	REVIEW_BIOMASS_MODULE	MEDIUM	HB residual scaffold	gapfilling/BIOMASS_V2_2_SAME_COMPONENTS_REPORT.md	Biomass biological assumption requires one-time module-level expert review.	CRITICAL	precursor audit; gapfill; growth; phenotype	V2.2 report: net MW=1.0 and growth change +1.488%; finalize must recompute	P0	YES					1	BIOMASS_PROPOSAL.tsv
HBREV-0006	BIOM-92A31F1DE3	BIOMASS	BIOMASS_MODULE	Protein	legacy Growth coefficients	0.550000 g/gDW	REVIEW_BIOMASS_MODULE	HIGH	proteome-derived amino-acid composition	gapfilling/BIOMASS_V2_2_SAME_COMPONENTS_REPORT.md	Biomass biological assumption requires one-time module-level expert review.	CRITICAL	precursor audit; gapfill; growth; phenotype	V2.2 report: net MW=1.0 and growth change +1.488%; finalize must recompute	P0	YES					1	BIOMASS_PROPOSAL.tsv
HBREV-0007	BIOM-A1A244C902	BIOMASS	BIOMASS_MODULE	Cell wall	legacy residual scaffold	V2.2 same-components retained	REVIEW_BIOMASS_MODULE	MEDIUM	HB residual scaffold	gapfilling/BIOMASS_V2_2_SAME_COMPONENTS_REPORT.md	Biomass biological assumption requires one-time module-level expert review.	CRITICAL	precursor audit; gapfill; growth; phenotype	V2.2 report: net MW=1.0 and growth change +1.488%; finalize must recompute	P0	YES					1	BIOMASS_PROPOSAL.tsv
HBREV-0008	BIOM-F97E9DA0E3	BIOMASS	BIOMASS_MODULE	Other	legacy residual scaffold	Residual total 0.209000 g/gDW	REVIEW_BIOMASS_MODULE	MEDIUM	V2.2 residual normalization	gapfilling/BIOMASS_V2_2_SAME_COMPONENTS_REPORT.md	Biomass biological assumption requires one-time module-level expert review.	CRITICAL	precursor audit; gapfill; growth; phenotype	V2.2 report: net MW=1.0 and growth change +1.488%; finalize must recompute	P0	YES					1	BIOMASS_PROPOSAL.tsv
HBREV-0009	DIRE-61B946F81A	DIRECTION_CHEMISTRY	REACTION_GROUP	NADH10;NADH5;NADH9	DRAFT_BOUNDS;DRAFT_BOUNDS;DRAFT_BOUNDS	REVIEW_DIRECTION_EVIDENCE	REVIEW_DIRECTION	MIXED	INTERNAL_DIRECTION_DISAGREEMENT; HIGH;INTERNAL_DIRECTION_DISAGREEMENT; HIGH;INTERNAL_DIRECTION_DISAGREEMENT; HIGH	DIRECTION_PROPOSALS.tsv	Internal/special direction disagreement is review-only; universal bounds are not authoritative.	PROTECTED	growth; cycles; phenotype; unbounded flux	No bound change applied; full QC/phenotype regression required after finalize	P0	YES					3	DIRECTION_PROPOSALS.tsv
HBREV-0010	GAPF-4007419C98	GAPFILL	REACTION	GALKr	draft_presence=NO	RETAIN_SELECTED_GAPFILL_CHEMISTRY; GPR=EMPTY	REVIEW_SELECTED_GAPFILL	HISTORICALLY_VALIDATED	existing HB phenotype benchmark; no foreign GPR transfer	SELECTED_GAPFILL_REVIEW.tsv	Selected carbon phenotype repair from existing HB workflow	PROTECTED	carbon phenotype; GPR; exchange routes	Existing HB carbon-phenotype validation; finalize must rerun	P0	YES					1	SELECTED_GAPFILL_REVIEW.tsv
